EventId,RequestId,EventDateTime,ServiceId,AgencyId,ChannelId,EventType,Status,ProcessingDurationSeconds,SLAElapsedPercent
EVT000076,REQ004472,2025-06-02 14:36,SVC006,AGY005,CH002,Assigned,In Progress,6346,1.47
EVT000077,REQ006115,2025-06-02 14:53,SVC006,AGY005,CH002,Assigned,In Progress,5302,2.05
EVT000078,REQ004874,2025-06-02 15:01,SVC004,AGY002,CH003,Assigned,In Progress,6742,2.60
EVT000079,REQ008511,2025-06-02 15:21,SVC009,AGY001,CH002,Submitted,New,0,0.00
EVT000080,REQ004633,2025-06-02 15:29,SVC008,AGY008,CH002,Assigned,In Progress,6869,2.65
EVT000081,REQ005606,2025-06-02 15:39,SVC004,AGY002,CH001,Submitted,New,0,0.00
EVT000082,REQ005976,2025-06-02 15:52,SVC006,AGY005,CH004,Submitted,New,0,0.00
EVT000083,REQ004060,2025-06-02 16:07,SVC004,AGY002,CH003,Submitted,New,0,0.00
EVT000084,REQ005606,2025-06-02 16:17,SVC004,AGY002,CH001,Assigned,In Progress,2289,0.88
EVT000085,REQ008511,2025-06-02 16:49,SVC009,AGY001,CH002,Assigned,In Progress,5307,1.23
EVT000086,REQ004060,2025-06-02 16:53,SVC004,AGY002,CH003,Assigned,In Progress,2802,0.65
EVT000087,REQ004917,2025-06-02 17:01,SVC006,AGY005,CH001,Submitted,New,0,0.00
EVT000088,REQ006716,2025-06-02 17:19,SVC004,AGY002,CH001,Resolved,Resolved,102548,40.79
EVT000089,REQ008458,2025-06-02 17:20,SVC004,AGY002,CH002,Submitted,New,0,0.00
EVT000090,REQ005976,2025-06-02 17:33,SVC006,AGY005,CH004,Assigned,In Progress,6100,1.41
EVT000091,REQ005785,2025-06-02 17:36,SVC010,AGY006,CH001,Submitted,New,0,0.00
EVT000092,REQ006862,2025-06-02 17:41,SVC004,AGY002,CH001,Submitted,New,0,0.00
EVT000093,REQ008151,2025-06-02 17:51,SVC012,AGY004,CH001,Submitted,New,0,0.00
EVT000094,REQ005050,2025-06-02 17:53,SVC012,AGY004,CH001,Submitted,New,0,0.00
EVT000095,REQ004917,2025-06-02 17:59,SVC006,AGY005,CH001,Assigned,In Progress,3483,2.02
EVT000096,REQ008458,2025-06-02 18:14,SVC004,AGY002,CH002,Assigned,In Progress,3266,1.26
EVT000097,REQ008151,2025-06-02 18:53,SVC012,AGY004,CH001,Assigned,In Progress,3724,2.16
EVT000098,REQ005050,2025-06-02 19:00,SVC012,AGY004,CH001,Assigned,In Progress,4049,0.94
EVT000099,REQ005785,2025-06-02 19:10,SVC010,AGY006,CH001,Assigned,In Progress,5673,2.19
EVT000100,REQ006441,2025-06-02 19:13,SVC001,AGY003,CH001,StatusChanged,In Progress,24126,10.87
EVT000101,REQ006862,2025-06-02 19:14,SVC004,AGY002,CH001,Assigned,In Progress,5607,2.16
EVT000102,REQ008680,2025-06-02 19:22,SVC004,AGY002,CH003,Submitted,New,0,0.00
EVT000103,REQ001115,2025-06-02 19:46,SVC002,AGY001,CH005,Escalated,In Progress,74721,45.73
EVT000104,REQ008680,2025-06-02 20:29,SVC004,AGY002,CH003,Assigned,In Progress,4062,1.57
EVT000105,REQ005325,2025-06-02 21:02,SVC009,AGY001,CH002,Resolved,Resolved,40049,16.81
EVT000106,REQ001861,2025-06-02 21:51,SVC011,AGY002,CH002,Submitted,New,0,0.00
EVT000107,REQ006802,2025-06-02 22:10,SVC007,AGY007,CH001,Submitted,New,0,0.00
EVT000108,REQ001861,2025-06-02 22:11,SVC011,AGY002,CH002,Assigned,In Progress,1217,0.28
EVT000109,REQ006458,2025-06-02 22:13,SVC004,AGY002,CH001,Submitted,New,0,0.00
EVT000110,REQ007971,2025-06-02 22:20,SVC003,AGY006,CH001,Submitted,New,0,0.00
EVT000111,REQ004633,2025-06-02 22:29,SVC008,AGY008,CH002,StatusChanged,In Progress,25210,12.38
EVT000112,REQ005413,2025-06-02 22:43,SVC011,AGY002,CH003,Resolved,Closed,121728,49.19
EVT000113,REQ007971,2025-06-02 22:53,SVC003,AGY006,CH001,Assigned,In Progress,1997,0.77
EVT000114,REQ006802,2025-06-02 22:59,SVC007,AGY007,CH001,Assigned,In Progress,2988,1.15
EVT000115,REQ006458,2025-06-02 23:30,SVC004,AGY002,CH001,Assigned,In Progress,4644,1.07
EVT000116,REQ006802,2025-06-03 04:33,SVC007,AGY007,CH001,StatusChanged,In Progress,20050,8.89
EVT000117,REQ001175,2025-06-03 07:02,SVC012,AGY004,CH002,Resolved,Resolved,67525,28.10
EVT000118,REQ004917,2025-06-03 07:27,SVC006,AGY005,CH001,StatusChanged,In Progress,48483,30.07
EVT000119,REQ005386,2025-06-03 07:39,SVC002,AGY001,CH001,Submitted,New,0,0.00
EVT000120,REQ008226,2025-06-03 07:58,SVC010,AGY006,CH004,Submitted,New,0,0.00
EVT000121,REQ004308,2025-06-03 08:44,SVC005,AGY004,CH001,Submitted,New,0,0.00
EVT000122,REQ004308,2025-06-03 09:02,SVC005,AGY004,CH001,Assigned,In Progress,1109,0.64
EVT000123,REQ005386,2025-06-03 09:02,SVC002,AGY001,CH001,Assigned,In Progress,5017,1.94
EVT000124,REQ008226,2025-06-03 09:04,SVC010,AGY006,CH004,Assigned,In Progress,3967,0.92
EVT000125,REQ000338,2025-06-03 09:19,SVC009,AGY001,CH001,Submitted,New,0,0.00
EVT000126,REQ002665,2025-06-03 09:20,SVC003,AGY006,CH001,Submitted,New,0,0.00
EVT000127,REQ001115,2025-06-03 09:33,SVC002,AGY001,CH005,Resolved,Closed,49564,74.41
EVT000128,REQ002665,2025-06-03 09:56,SVC003,AGY006,CH001,Assigned,In Progress,2174,0.50
EVT000129,REQ000233,2025-06-03 09:57,SVC003,AGY006,CH002,Resolved,Resolved,166303,65.25
EVT000130,REQ007213,2025-06-03 09:59,SVC001,AGY003,CH002,Submitted,New,0,0.00
EVT000131,REQ000338,2025-06-03 10:15,SVC009,AGY001,CH001,Assigned,In Progress,3415,1.32
EVT000132,REQ004648,2025-06-03 10:41,SVC010,AGY006,CH003,Submitted,New,0,0.00
EVT000133,REQ007794,2025-06-03 10:41,SVC004,AGY002,CH003,Submitted,New,0,0.00
EVT000134,REQ005390,2025-06-03 10:57,SVC003,AGY006,CH002,StatusChanged,In Progress,82580,19.71
EVT000135,REQ007213,2025-06-03 10:57,SVC001,AGY003,CH002,Assigned,In Progress,3523,1.36
EVT000136,REQ004561,2025-06-03 11:14,SVC011,AGY002,CH002,Submitted,New,0,0.00
EVT000137,REQ007794,2025-06-03 11:17,SVC004,AGY002,CH003,Assigned,In Progress,2206,1.28
EVT000138,REQ001777,2025-06-03 11:36,SVC009,AGY001,CH001,Submitted,New,0,0.00
EVT000139,REQ004561,2025-06-03 11:54,SVC011,AGY002,CH002,Assigned,In Progress,2418,1.40
EVT000140,REQ004648,2025-06-03 12:03,SVC010,AGY006,CH003,Assigned,In Progress,4942,1.14
EVT000141,REQ001777,2025-06-03 12:08,SVC009,AGY001,CH001,Assigned,In Progress,1952,0.75
EVT000142,REQ003427,2025-06-03 12:15,SVC002,AGY001,CH002,StatusChanged,In Progress,85977,50.41
EVT000143,REQ008250,2025-06-03 12:36,SVC003,AGY006,CH003,Submitted,New,0,0.00
EVT000144,REQ008054,2025-06-03 13:32,SVC001,AGY003,CH001,Submitted,New,0,0.00
EVT000145,REQ000006,2025-06-03 13:45,SVC004,AGY002,CH003,Resolved,Resolved,186360,43.68
EVT000146,REQ004333,2025-06-03 13:52,SVC009,AGY001,CH003,Submitted,New,0,0.00
EVT000147,REQ008250,2025-06-03 13:58,SVC003,AGY006,CH003,Assigned,In Progress,4937,1.90
EVT000148,REQ009838,2025-06-03 13:59,SVC002,AGY001,CH002,Resolved,Resolved,144857,57.66
EVT000149,REQ003849,2025-06-03 14:24,SVC003,AGY006,CH003,Submitted,New,0,0.00
EVT000150,REQ004333,2025-06-03 14:33,SVC009,AGY001,CH003,Assigned,In Progress,2465,0.95
EVT000151,REQ003638,2025-06-03 14:52,SVC004,AGY002,CH004,Submitted,New,0,0.00
EVT000152,REQ003265,2025-06-03 14:53,SVC012,AGY004,CH005,Resolved,Closed,91512,22.10
EVT000153,REQ003912,2025-06-03 14:57,SVC004,AGY002,CH002,Submitted,New,0,0.00
EVT000154,REQ008054,2025-06-03 15:02,SVC001,AGY003,CH001,Assigned,In Progress,5419,2.09
EVT000155,REQ003638,2025-06-03 15:13,SVC004,AGY002,CH004,Assigned,In Progress,1285,0.50
EVT000156,REQ000315,2025-06-03 15:23,SVC005,AGY004,CH005,Submitted,New,0,0.00
EVT000157,REQ003912,2025-06-03 15:28,SVC004,AGY002,CH002,Assigned,In Progress,1863,1.08
EVT000158,REQ000315,2025-06-03 15:54,SVC005,AGY004,CH005,Assigned,In Progress,1912,0.74
EVT000159,REQ006275,2025-06-03 16:08,SVC006,AGY005,CH001,Resolved,Resolved,174619,41.21
EVT000160,REQ003849,2025-06-03 16:12,SVC003,AGY006,CH003,Assigned,In Progress,6500,2.51
EVT000161,REQ007215,2025-06-03 16:34,SVC006,AGY005,CH005,Submitted,New,0,0.00
EVT000162,REQ001766,2025-06-03 17:27,SVC011,AGY002,CH003,Submitted,New,0,0.00
EVT000163,REQ007215,2025-06-03 18:05,SVC006,AGY005,CH005,Assigned,In Progress,5502,2.12
EVT000164,REQ002428,2025-06-03 18:15,SVC006,AGY005,CH002,Resolved,Resolved,118187,72.40
EVT000165,REQ000539,2025-06-03 18:40,SVC007,AGY007,CH003,Resolved,Resolved,199293,79.40
EVT000166,REQ001766,2025-06-03 18:45,SVC011,AGY002,CH003,Assigned,In Progress,4690,1.81
EVT000167,REQ006715,2025-06-03 18:52,SVC010,AGY006,CH004,Submitted,New,0,0.00
EVT000168,REQ008515,2025-06-03 18:52,SVC001,AGY003,CH001,Submitted,New,0,0.00
EVT000169,REQ001379,2025-06-03 19:17,SVC002,AGY001,CH001,Submitted,New,0,0.00
EVT000170,REQ007288,2025-06-03 19:23,SVC009,AGY001,CH002,Submitted,New,0,0.00
EVT000171,REQ005594,2025-06-03 19:47,SVC003,AGY006,CH001,Resolved,Closed,117683,47.87
EVT000172,REQ007629,2025-06-03 19:53,SVC001,AGY003,CH002,Submitted,New,0,0.00
EVT000173,REQ008515,2025-06-03 20:04,SVC001,AGY003,CH001,Assigned,In Progress,4338,1.67
EVT000174,REQ004366,2025-06-03 20:08,SVC003,AGY006,CH001,Submitted,New,0,0.00
EVT000175,REQ006715,2025-06-03 20:15,SVC010,AGY006,CH004,Assigned,In Progress,4982,1.92
EVT000176,REQ001379,2025-06-03 20:36,SVC002,AGY001,CH001,Assigned,In Progress,4780,2.77
EVT000177,REQ004487,2025-06-03 20:39,SVC011,AGY002,CH001,Escalated,In Progress,110966,43.68
EVT000178,REQ004366,2025-06-03 20:55,SVC003,AGY006,CH001,Assigned,In Progress,2848,0.66
EVT000179,REQ007288,2025-06-03 21:20,SVC009,AGY001,CH002,Assigned,In Progress,7035,2.71
EVT000180,REQ009998,2025-06-03 21:38,SVC004,AGY002,CH002,Submitted,New,0,0.00
EVT000181,REQ007629,2025-06-03 21:46,SVC001,AGY003,CH002,Assigned,In Progress,6783,3.93
EVT000182,REQ002225,2025-06-03 22:23,SVC011,AGY002,CH002,Resolved,Resolved,125327,50.53
EVT000183,REQ009998,2025-06-03 22:35,SVC004,AGY002,CH002,Assigned,In Progress,3472,1.34
EVT000184,REQ001300,2025-06-03 23:46,SVC001,AGY003,CH003,Escalated,In Progress,127967,50.33
EVT000185,REQ007213,2025-06-03 23:47,SVC001,AGY003,CH002,Escalated,In Progress,46164,19.17
EVT000186,REQ004561,2025-06-04 00:58,SVC011,AGY002,CH002,StatusChanged,In Progress,47053,28.63
EVT000187,REQ000315,2025-06-04 01:27,SVC005,AGY004,CH005,StatusChanged,New,34344,13.99
EVT000188,REQ001861,2025-06-04 02:35,SVC011,AGY002,CH002,Resolved,Closed,102223,23.94
EVT000189,REQ005386,2025-06-04 02:50,SVC002,AGY001,CH001,StatusChanged,In Progress,64097,26.66
EVT000190,REQ007794,2025-06-04 04:43,SVC004,AGY002,CH003,StatusChanged,In Progress,62762,37.60
EVT000191,REQ006115,2025-06-04 06:45,SVC006,AGY005,CH002,Escalated,In Progress,143521,57.42
EVT000192,REQ006862,2025-06-04 06:47,SVC004,AGY002,CH001,Escalated,In Progress,127974,51.54
EVT000193,REQ007213,2025-06-04 07:03,SVC001,AGY003,CH002,Resolved,Resolved,26152,29.26
EVT000194,REQ003223,2025-06-04 07:10,SVC011,AGY002,CH003,Submitted,New,0,0.00
EVT000195,REQ001441,2025-06-04 07:24,SVC008,AGY008,CH002,Submitted,New,0,0.00
EVT000196,REQ002160,2025-06-04 07:36,SVC007,AGY007,CH003,Submitted,New,0,0.00
EVT000197,REQ004204,2025-06-04 07:41,SVC004,AGY002,CH002,Resolved,Closed,250274,97.89
EVT000198,REQ005639,2025-06-04 07:54,SVC006,AGY005,CH002,Escalated,In Progress,153942,61.11
EVT000199,REQ002160,2025-06-04 08:02,SVC007,AGY007,CH003,Assigned,In Progress,1605,0.37
EVT000200,REQ006797,2025-06-04 08:08,SVC007,AGY007,CH004,Submitted,New,0,0.00
EVT000201,REQ001441,2025-06-04 08:20,SVC008,AGY008,CH002,Assigned,In Progress,3360,1.30
EVT000202,REQ001300,2025-06-04 08:29,SVC001,AGY003,CH003,Resolved,Resolved,31352,62.43
EVT000203,REQ007748,2025-06-04 08:37,SVC001,AGY003,CH002,Escalated,In Progress,246316,96.50
EVT000204,REQ008515,2025-06-04 08:55,SVC001,AGY003,CH001,Resolved,Closed,46242,19.51
EVT000205,REQ006797,2025-06-04 08:57,SVC007,AGY007,CH004,Assigned,In Progress,2980,1.15
EVT000206,REQ003223,2025-06-04 08:58,SVC011,AGY002,CH003,Assigned,In Progress,6493,1.50
EVT000207,REQ008904,2025-06-04 08:58,SVC004,AGY002,CH001,Resolved,Resolved,234249,91.62
EVT000208,REQ006782,2025-06-04 09:01,SVC011,AGY002,CH001,Submitted,New,0,0.00
EVT000209,REQ002340,2025-06-04 09:12,SVC004,AGY002,CH002,Resolved,Resolved,172477,67.29
EVT000210,REQ006971,2025-06-04 09:48,SVC004,AGY002,CH001,Submitted,New,0,0.00
EVT000211,REQ005890,2025-06-04 09:53,SVC004,AGY002,CH001,Submitted,New,0,0.00
EVT000212,REQ000076,2025-06-04 10:10,SVC009,AGY001,CH004,Submitted,New,0,0.00
EVT000213,REQ007971,2025-06-04 10:14,SVC003,AGY006,CH001,Resolved,Closed,127243,49.86
EVT000214,REQ005890,2025-06-04 10:30,SVC004,AGY002,CH001,Assigned,In Progress,2269,1.31
EVT000215,REQ006971,2025-06-04 10:47,SVC004,AGY002,CH001,Assigned,In Progress,3559,2.06
EVT000216,REQ006782,2025-06-04 10:58,SVC011,AGY002,CH001,Assigned,In Progress,7072,2.73
EVT000217,REQ000076,2025-06-04 11:22,SVC009,AGY001,CH004,Assigned,In Progress,4328,1.67
EVT000218,REQ005538,2025-06-04 12:57,SVC011,AGY002,CH003,Submitted,New,0,0.00
EVT000219,REQ005538,2025-06-04 13:44,SVC011,AGY002,CH003,Assigned,In Progress,2873,1.66
EVT000220,REQ008116,2025-06-04 13:45,SVC007,AGY007,CH003,Submitted,New,0,0.00
EVT000221,REQ008151,2025-06-04 13:48,SVC012,AGY004,CH001,Resolved,Resolved,154496,91.56
EVT000222,REQ008116,2025-06-04 15:05,SVC007,AGY007,CH003,Assigned,In Progress,4814,5.57
EVT000223,REQ005976,2025-06-04 15:13,SVC006,AGY005,CH004,Resolved,Resolved,164360,39.46
EVT000224,REQ006657,2025-06-04 15:25,SVC001,AGY003,CH001,Submitted,New,0,0.00
EVT000225,REQ003384,2025-06-04 15:30,SVC004,AGY002,CH004,Submitted,New,0,0.00
EVT000226,REQ004487,2025-06-04 15:37,SVC011,AGY002,CH001,Resolved,Resolved,68226,70.00
EVT000227,REQ001491,2025-06-04 15:47,SVC001,AGY003,CH001,Submitted,New,0,0.00
EVT000228,REQ006657,2025-06-04 15:51,SVC001,AGY003,CH001,Assigned,In Progress,1600,0.62
EVT000229,REQ005283,2025-06-04 16:24,SVC010,AGY006,CH005,Submitted,New,0,0.00
EVT000230,REQ001491,2025-06-04 16:40,SVC001,AGY003,CH001,Assigned,In Progress,3207,1.24
EVT000231,REQ001365,2025-06-04 16:44,SVC006,AGY005,CH002,Submitted,New,0,0.00
EVT000232,REQ003384,2025-06-04 16:59,SVC004,AGY002,CH004,Assigned,In Progress,5371,3.11
EVT000233,REQ000280,2025-06-04 17:01,SVC003,AGY006,CH005,Submitted,New,0,0.00
EVT000234,REQ001365,2025-06-04 17:04,SVC006,AGY005,CH002,Assigned,In Progress,1251,0.48
EVT000235,REQ004823,2025-06-04 17:07,SVC011,AGY002,CH002,Submitted,New,0,0.00
EVT000236,REQ007462,2025-06-04 17:37,SVC006,AGY005,CH001,Submitted,New,0,0.00
EVT000237,REQ007112,2025-06-04 17:47,SVC007,AGY007,CH002,Submitted,New,0,0.00
EVT000238,REQ005283,2025-06-04 18:05,SVC010,AGY006,CH005,Assigned,In Progress,6078,7.03
EVT000239,REQ009517,2025-06-04 18:12,SVC004,AGY002,CH001,Submitted,New,0,0.00
EVT000240,REQ002383,2025-06-04 18:19,SVC002,AGY001,CH002,Submitted,New,0,0.00
EVT000241,REQ006177,2025-06-04 18:19,SVC007,AGY007,CH001,Submitted,New,0,0.00
EVT000242,REQ007462,2025-06-04 18:25,SVC006,AGY005,CH001,Assigned,In Progress,2919,0.68
EVT000243,REQ003638,2025-06-04 18:26,SVC004,AGY002,CH004,Resolved,Resolved,97955,38.29
EVT000244,REQ004823,2025-06-04 18:27,SVC011,AGY002,CH002,Assigned,In Progress,4817,1.86
EVT000245,REQ003231,2025-06-04 18:38,SVC003,AGY006,CH003,Submitted,New,0,0.00
EVT000246,REQ009517,2025-06-04 18:42,SVC004,AGY002,CH001,Assigned,In Progress,1858,0.72
EVT000247,REQ007112,2025-06-04 18:48,SVC007,AGY007,CH002,Assigned,In Progress,3719,1.43
EVT000248,REQ000280,2025-06-04 18:49,SVC003,AGY006,CH005,Assigned,In Progress,6486,2.50
EVT000249,REQ008100,2025-06-04 18:53,SVC004,AGY002,CH002,Submitted,New,0,0.00
EVT000250,REQ003231,2025-06-04 19:17,SVC003,AGY006,CH003,Assigned,In Progress,2380,0.92
EVT000251,REQ007580,2025-06-04 19:17,SVC007,AGY007,CH001,Submitted,New,0,0.00
EVT000252,REQ000415,2025-06-04 19:25,SVC003,AGY006,CH001,Submitted,New,0,0.00
EVT000253,REQ007361,2025-06-04 19:25,SVC012,AGY004,CH001,Submitted,New,0,0.00
EVT000254,REQ008100,2025-06-04 19:26,SVC004,AGY002,CH002,Assigned,In Progress,1995,0.77
EVT000255,REQ008295,2025-06-04 19:37,SVC010,AGY006,CH002,Submitted,New,0,0.00
EVT000256,REQ006177,2025-06-04 19:48,SVC007,AGY007,CH001,Assigned,In Progress,5343,3.09
EVT000257,REQ007361,2025-06-04 19:49,SVC012,AGY004,CH001,Assigned,In Progress,1453,0.34
EVT000258,REQ008295,2025-06-04 20:01,SVC010,AGY006,CH002,Assigned,In Progress,1455,0.56
EVT000259,REQ002383,2025-06-04 20:10,SVC002,AGY001,CH002,Assigned,In Progress,6702,1.55
EVT000260,REQ008429,2025-06-04 20:17,SVC005,AGY004,CH003,Submitted,New,0,0.00
EVT000261,REQ007572,2025-06-04 20:22,SVC001,AGY003,CH001,Submitted,New,0,0.00
EVT000262,REQ007580,2025-06-04 20:30,SVC007,AGY007,CH001,Assigned,In Progress,4382,1.69
EVT000263,REQ007572,2025-06-04 20:40,SVC001,AGY003,CH001,Assigned,In Progress,1081,0.42
EVT000264,REQ000415,2025-06-04 21:13,SVC003,AGY006,CH001,Assigned,In Progress,6507,2.51
