RequestId,DateKey,ServiceId,AgencyId,ChannelId,SLAId,CitizenSegment,SubmittedDateTime,ResolvedDateTime,Status,Priority,AssignedTeam,ResolutionHours,IsSLABreached,BacklogFlag
REQ000024,20260528,SVC007,AGY007,CH001,SLA026,Business User,2026-05-28 15:53,2026-05-29 13:00,Closed,Normal,Health Service Desk,21.13,False,False
REQ000025,20250925,SVC001,AGY003,CH001,SLA002,Caregiver,2025-09-25 18:38,2025-09-27 05:41,Resolved,Normal,Licensing Review Team,35.05,False,False
REQ000026,20260320,SVC009,AGY001,CH003,SLA035,Caregiver,2026-03-20 22:24,,In Progress,High,Citizen Portal Team,,False,True
REQ000027,20260309,SVC001,AGY003,CH003,SLA002,Business User,2026-03-09 11:51,,In Progress,Normal,Licensing Review Team,,False,True
REQ000028,20251218,SVC009,AGY001,CH002,SLA035,Senior,2025-12-18 09:27,2025-12-19 22:23,Closed,High,Citizen Portal Team,36.94,False,False
REQ000029,20251201,SVC008,AGY008,CH005,SLA032,Caregiver,2025-12-01 16:34,2025-12-02 10:03,Resolved,Urgent,Workforce Case Team,17.50,False,False
REQ000030,20260106,SVC007,AGY007,CH001,SLA026,Visitor,2026-01-06 17:27,2026-01-09 08:32,Resolved,Normal,Health Service Desk,63.10,False,False
REQ000031,20251106,SVC009,AGY001,CH002,SLA035,Community Partner,2025-11-06 19:27,2025-11-08 01:19,Resolved,High,Citizen Portal Team,29.88,False,False
REQ000032,20251012,SVC011,AGY002,CH004,SLA043,Senior,2025-10-12 11:29,2025-10-13 13:55,Resolved,High,Case Operations Team,26.44,False,False
REQ000033,20260422,SVC009,AGY001,CH002,SLA034,Caregiver,2026-04-22 17:25,2026-04-23 08:27,Resolved,Normal,Citizen Portal Team,15.04,False,False
REQ000034,20260402,SVC010,AGY006,CH001,SLA038,Business User,2026-04-02 07:55,2026-04-03 03:38,Resolved,Normal,Grant Operations Team,19.73,False,False
REQ000035,20260429,SVC012,AGY004,CH002,SLA046,Resident,2026-04-29 07:30,2026-05-01 03:34,Resolved,Normal,Mobility Response Team,44.08,False,False
REQ000036,20260421,SVC005,AGY004,CH001,SLA018,Caregiver,2026-04-21 19:30,2026-04-23 10:17,Resolved,Normal,Mobility Response Team,38.79,False,False
REQ000037,20251014,SVC008,AGY008,CH005,SLA031,Business User,2025-10-14 14:36,2025-10-16 04:40,Resolved,High,Workforce Case Team,38.07,False,False
REQ000038,20251006,SVC011,AGY002,CH002,SLA042,Business User,2025-10-06 11:39,,In Progress,Normal,Case Operations Team,,False,True
REQ000039,20250920,SVC004,AGY002,CH002,SLA014,Visitor,2025-09-20 11:38,2025-09-22 07:10,Resolved,Normal,Case Operations Team,43.55,False,False
REQ000040,20260427,SVC010,AGY006,CH003,SLA038,Community Partner,2026-04-27 11:32,,Pending Citizen,Normal,Grant Operations Team,,False,True
REQ000041,20260303,SVC004,AGY002,CH002,SLA014,Resident,2026-03-03 11:20,2026-03-05 05:54,Resolved,Normal,Case Operations Team,42.58,False,False
REQ000042,20251020,SVC003,AGY006,CH005,SLA010,Senior,2025-10-20 09:53,2025-10-22 18:49,Resolved,Normal,Grant Operations Team,56.93,False,False
REQ000043,20251111,SVC011,AGY002,CH003,SLA043,Caregiver,2025-11-11 12:37,2025-11-12 06:50,Closed,High,Case Operations Team,18.23,False,False
REQ000044,20251230,SVC009,AGY001,CH003,SLA035,Resident,2025-12-30 18:46,,In Progress,High,Citizen Portal Team,,False,True
REQ000045,20251229,SVC002,AGY001,CH001,SLA006,Senior,2025-12-29 16:06,2026-01-01 11:48,Resolved,Normal,Citizen Portal Team,67.70,False,False
REQ000046,20260101,SVC005,AGY004,CH002,SLA018,Business User,2026-01-01 12:51,,In Progress,Normal,Mobility Response Team,,False,True
REQ000047,20250809,SVC004,AGY002,CH002,SLA015,Resident,2025-08-09 10:09,,New,High,Case Operations Team,,False,True
REQ000048,20251003,SVC007,AGY007,CH002,SLA027,Senior,2025-10-03 13:51,,In Progress,High,Health Service Desk,,False,True
REQ000049,20250626,SVC004,AGY002,CH001,SLA014,Business User,2025-06-26 11:34,,In Progress,Normal,Case Operations Team,,False,True
REQ000050,20260522,SVC010,AGY006,CH002,SLA038,Business User,2026-05-22 15:50,2026-05-25 05:21,Resolved,Normal,Grant Operations Team,61.52,False,False
REQ000051,20251013,SVC001,AGY003,CH004,SLA002,Community Partner,2025-10-13 14:26,2025-10-15 06:06,Closed,Normal,Licensing Review Team,39.67,False,False
REQ000052,20251118,SVC001,AGY003,CH002,SLA002,Visitor,2025-11-18 12:14,2025-11-20 11:00,Resolved,Normal,Licensing Review Team,46.77,False,False
REQ000053,20260402,SVC004,AGY002,CH003,SLA013,Caregiver,2026-04-02 14:48,2026-04-05 00:21,Resolved,Low,Case Operations Team,57.56,False,False
REQ000054,20260326,SVC007,AGY007,CH001,SLA026,Resident,2026-03-26 18:33,2026-03-29 01:27,Resolved,Normal,Health Service Desk,54.91,False,False
REQ000055,20250703,SVC008,AGY008,CH004,SLA031,Senior,2025-07-03 17:42,2025-07-06 14:12,Closed,High,Workforce Case Team,68.51,True,False
REQ000056,20250617,SVC011,AGY002,CH001,SLA042,Senior,2025-06-17 11:53,2025-06-23 07:51,Closed,Normal,Case Operations Team,139.98,True,False
REQ000057,20260420,SVC007,AGY007,CH002,SLA026,Business User,2026-04-20 11:32,2026-04-25 19:42,Resolved,Normal,Health Service Desk,128.17,True,False
REQ000058,20250923,SVC003,AGY006,CH001,SLA009,Caregiver,2025-09-23 18:10,,In Progress,Low,Grant Operations Team,,False,True
REQ000059,20250721,SVC009,AGY001,CH001,SLA034,Visitor,2025-07-21 09:31,2025-07-22 16:06,Resolved,Normal,Citizen Portal Team,30.59,False,False
REQ000060,20251225,SVC001,AGY003,CH001,SLA002,Resident,2025-12-25 07:04,2025-12-26 23:58,Closed,Normal,Licensing Review Team,40.91,False,False
REQ000061,20250618,SVC012,AGY004,CH001,SLA046,Community Partner,2025-06-18 19:02,2025-06-19 21:41,Closed,Normal,Mobility Response Team,26.65,False,False
REQ000062,20250822,SVC001,AGY003,CH002,SLA002,Resident,2025-08-22 18:39,2025-08-24 02:22,Closed,Normal,Licensing Review Team,31.73,False,False
REQ000063,20250619,SVC003,AGY006,CH002,SLA010,Visitor,2025-06-19 10:37,2025-06-21 07:26,Closed,Normal,Grant Operations Team,44.82,False,False
REQ000064,20250814,SVC001,AGY003,CH003,SLA002,Business User,2025-08-14 12:22,2025-08-16 12:54,Resolved,Normal,Licensing Review Team,48.54,False,False
REQ000065,20251231,SVC003,AGY006,CH001,SLA010,Visitor,2025-12-31 15:17,2026-01-02 07:24,Resolved,Normal,Grant Operations Team,40.13,False,False
REQ000066,20250710,SVC005,AGY004,CH001,SLA018,Senior,2025-07-10 16:54,2025-07-12 23:19,Resolved,Normal,Mobility Response Team,54.42,False,False
REQ000067,20260327,SVC008,AGY008,CH001,SLA032,Visitor,2026-03-27 15:18,2026-03-28 02:57,Resolved,Urgent,Workforce Case Team,11.65,False,False
REQ000068,20250816,SVC004,AGY002,CH002,SLA014,Business User,2025-08-16 10:41,,Pending Citizen,Normal,Case Operations Team,,False,True
REQ000069,20250609,SVC005,AGY004,CH002,SLA018,Senior,2025-06-09 07:43,2025-06-10 21:46,Resolved,Normal,Mobility Response Team,38.06,False,False
REQ000070,20250831,SVC001,AGY003,CH004,SLA003,Caregiver,2025-08-31 09:28,2025-09-04 15:39,Closed,High,Licensing Review Team,102.19,True,False
REQ000071,20250906,SVC005,AGY004,CH003,SLA017,Community Partner,2025-09-06 15:05,2025-09-08 20:54,Resolved,Low,Mobility Response Team,53.82,False,False
REQ000072,20250719,SVC007,AGY007,CH001,SLA026,Visitor,2025-07-19 10:56,2025-07-20 21:22,Resolved,Normal,Health Service Desk,34.45,False,False
REQ000073,20250919,SVC001,AGY003,CH002,SLA002,Resident,2025-09-19 16:13,2025-09-21 14:50,Resolved,Normal,Licensing Review Team,46.62,False,False
REQ000074,20260504,SVC007,AGY007,CH001,SLA026,Senior,2026-05-04 09:39,2026-05-05 04:42,Resolved,Normal,Health Service Desk,19.05,False,False
REQ000075,20251122,SVC010,AGY006,CH005,SLA038,Visitor,2025-11-22 10:12,,In Progress,Normal,Grant Operations Team,,False,True
REQ000076,20250604,SVC009,AGY001,CH004,SLA034,Business User,2025-06-04 10:10,2025-06-07 05:30,Closed,Normal,Citizen Portal Team,67.34,False,False
REQ000077,20260422,SVC001,AGY003,CH001,SLA002,Community Partner,2026-04-22 13:30,2026-04-27 06:02,Resolved,Normal,Licensing Review Team,112.54,True,False
REQ000078,20251014,SVC009,AGY001,CH003,SLA034,Community Partner,2025-10-14 09:24,2025-10-15 10:29,Closed,Normal,Citizen Portal Team,25.10,False,False
REQ000079,20250616,SVC008,AGY008,CH003,SLA029,Visitor,2025-06-16 08:27,2025-06-19 13:14,Resolved,Low,Workforce Case Team,76.79,False,False
REQ000080,20260420,SVC009,AGY001,CH001,SLA034,Caregiver,2026-04-20 11:48,,In Progress,Normal,Citizen Portal Team,,False,True
REQ000081,20251102,SVC010,AGY006,CH002,SLA040,Resident,2025-11-02 14:41,2025-11-03 00:12,Closed,Urgent,Grant Operations Team,9.52,False,False
REQ000082,20250822,SVC004,AGY002,CH003,SLA014,Senior,2025-08-22 17:47,2025-08-25 18:13,Resolved,Normal,Case Operations Team,72.44,False,False
REQ000083,20251111,SVC009,AGY001,CH002,SLA035,Community Partner,2025-11-11 12:05,,New,High,Citizen Portal Team,,False,True
REQ000084,20250720,SVC007,AGY007,CH001,SLA025,Caregiver,2025-07-20 14:55,,In Progress,Low,Health Service Desk,,False,True
REQ000085,20260218,SVC003,AGY006,CH002,SLA010,Visitor,2026-02-18 19:41,,Pending Citizen,Normal,Grant Operations Team,,False,True
REQ000086,20250609,SVC004,AGY002,CH004,SLA014,Visitor,2025-06-09 13:08,2025-06-10 16:11,Closed,Normal,Case Operations Team,27.06,False,False
REQ000087,20260522,SVC004,AGY002,CH001,SLA014,Community Partner,2026-05-22 17:09,2026-05-25 03:45,Resolved,Normal,Case Operations Team,58.61,False,False
REQ000088,20251123,SVC012,AGY004,CH002,SLA046,Business User,2025-11-23 16:20,2025-11-26 05:45,Resolved,Normal,Mobility Response Team,61.43,False,False
REQ000089,20250902,SVC001,AGY003,CH005,SLA003,Resident,2025-09-02 07:34,,Pending Citizen,High,Licensing Review Team,,False,True
REQ000090,20260304,SVC011,AGY002,CH002,SLA043,Visitor,2026-03-04 18:15,2026-03-06 21:54,Resolved,High,Case Operations Team,51.66,True,False
REQ000091,20260429,SVC001,AGY003,CH003,SLA002,Community Partner,2026-04-29 10:11,2026-05-05 11:39,Closed,Normal,Licensing Review Team,145.48,True,False
REQ000092,20251123,SVC003,AGY006,CH003,SLA011,Business User,2025-11-23 09:21,,New,High,Grant Operations Team,,False,True
REQ000093,20250925,SVC010,AGY006,CH002,SLA037,Visitor,2025-09-25 17:34,2025-09-27 23:34,Resolved,Low,Grant Operations Team,54.01,False,False
REQ000094,20251120,SVC002,AGY001,CH002,SLA006,Community Partner,2025-11-20 15:42,2025-11-23 04:30,Closed,Normal,Citizen Portal Team,60.81,False,False
REQ000095,20260326,SVC001,AGY003,CH002,SLA002,Resident,2026-03-26 08:04,2026-03-29 08:47,Resolved,Normal,Licensing Review Team,72.72,True,False
REQ000096,20260210,SVC005,AGY004,CH001,SLA019,Resident,2026-02-10 16:16,2026-02-12 06:30,Resolved,High,Mobility Response Team,38.24,False,False
REQ000097,20251017,SVC003,AGY006,CH003,SLA011,Community Partner,2025-10-17 19:43,2025-10-19 10:00,Closed,High,Grant Operations Team,38.30,False,False
REQ000098,20250922,SVC004,AGY002,CH004,SLA014,Community Partner,2025-09-22 16:41,2025-10-01 04:16,Closed,Normal,Case Operations Team,203.58,True,False
REQ000099,20250904,SVC004,AGY002,CH001,SLA013,Visitor,2025-09-04 08:01,2025-09-09 15:38,Closed,Low,Case Operations Team,127.63,False,False
REQ000100,20260216,SVC006,AGY005,CH005,SLA024,Resident,2026-02-16 14:38,2026-02-17 09:45,Resolved,Urgent,Housing Assistance Team,19.13,False,False
REQ000101,20250722,SVC011,AGY002,CH002,SLA042,Visitor,2025-07-22 19:39,2025-07-23 08:29,Resolved,Normal,Case Operations Team,12.85,False,False
REQ000102,20250826,SVC001,AGY003,CH001,SLA002,Visitor,2025-08-26 18:53,2025-08-29 09:57,Resolved,Normal,Licensing Review Team,63.07,False,False
REQ000103,20260505,SVC011,AGY002,CH002,SLA042,Resident,2026-05-05 18:49,2026-05-07 14:26,Resolved,Normal,Case Operations Team,43.62,False,False
REQ000104,20251028,SVC002,AGY001,CH004,SLA006,Resident,2025-10-28 13:08,2025-11-01 06:35,Closed,Normal,Citizen Portal Team,89.46,True,False
REQ000105,20260224,SVC007,AGY007,CH002,SLA027,Community Partner,2026-02-24 18:12,,In Progress,High,Health Service Desk,,False,True
REQ000106,20260517,SVC004,AGY002,CH001,SLA013,Business User,2026-05-17 11:53,2026-05-24 11:13,Resolved,Low,Case Operations Team,167.34,True,False
REQ000107,20260530,SVC003,AGY006,CH001,SLA011,Resident,2026-05-30 14:59,,Pending Citizen,High,Grant Operations Team,,False,True
REQ000108,20250917,SVC007,AGY007,CH001,SLA026,Community Partner,2025-09-17 15:49,2025-09-20 01:31,Closed,Normal,Health Service Desk,57.71,False,False
REQ000109,20260207,SVC007,AGY007,CH002,SLA026,Business User,2026-02-07 11:06,2026-02-08 15:30,Resolved,Normal,Health Service Desk,28.40,False,False
REQ000110,20250815,SVC007,AGY007,CH004,SLA028,Visitor,2025-08-15 10:40,2025-08-16 06:54,Resolved,Urgent,Health Service Desk,20.24,False,False
REQ000111,20250610,SVC010,AGY006,CH002,SLA038,Senior,2025-06-10 19:39,2025-06-13 09:17,Closed,Normal,Grant Operations Team,61.65,False,False
REQ000112,20260514,SVC010,AGY006,CH002,SLA039,Resident,2026-05-14 09:34,2026-05-16 04:32,Resolved,High,Grant Operations Team,42.97,False,False
REQ000113,20260318,SVC007,AGY007,CH005,SLA027,Resident,2026-03-18 12:30,2026-03-19 01:46,Closed,High,Health Service Desk,13.27,False,False
REQ000114,20260508,SVC009,AGY001,CH001,SLA034,Community Partner,2026-05-08 19:06,2026-05-11 10:05,Closed,Normal,Citizen Portal Team,62.98,False,False
REQ000115,20250725,SVC001,AGY003,CH001,SLA002,Resident,2025-07-25 16:33,2025-07-28 09:49,Resolved,Normal,Licensing Review Team,65.28,False,False
REQ000116,20251222,SVC006,AGY005,CH001,SLA022,Business User,2025-12-22 08:15,2025-12-24 16:38,Resolved,Normal,Housing Assistance Team,56.39,False,False
REQ000117,20260506,SVC004,AGY002,CH002,SLA014,Senior,2026-05-06 11:14,2026-05-08 11:28,Resolved,Normal,Case Operations Team,48.24,False,False
REQ000118,20250819,SVC003,AGY006,CH004,SLA009,Business User,2025-08-19 17:42,2025-08-20 19:21,Resolved,Low,Grant Operations Team,25.66,False,False
REQ000119,20260422,SVC004,AGY002,CH004,SLA015,Business User,2026-04-22 09:45,2026-04-24 17:49,Closed,High,Case Operations Team,56.07,False,False
REQ000120,20251030,SVC006,AGY005,CH001,SLA022,Senior,2025-10-30 19:20,2025-11-03 08:43,Closed,Normal,Housing Assistance Team,85.39,False,False
REQ000121,20250919,SVC001,AGY003,CH002,SLA002,Caregiver,2025-09-19 22:30,2025-09-20 22:26,Resolved,Normal,Licensing Review Team,23.94,False,False
REQ000122,20260213,SVC007,AGY007,CH005,SLA025,Resident,2026-02-13 10:51,2026-02-15 17:03,Resolved,Low,Health Service Desk,54.20,False,False
REQ000123,20260514,SVC009,AGY001,CH003,SLA035,Caregiver,2026-05-14 16:48,2026-05-16 08:50,Closed,High,Citizen Portal Team,40.03,False,False
REQ000124,20250901,SVC009,AGY001,CH002,SLA034,Community Partner,2025-09-01 10:12,2025-09-01 22:04,Closed,Normal,Citizen Portal Team,11.88,False,False
REQ000125,20250702,SVC004,AGY002,CH003,SLA014,Senior,2025-07-02 09:17,2025-07-06 03:04,Resolved,Normal,Case Operations Team,89.80,False,False
REQ000126,20251129,SVC006,AGY005,CH001,SLA024,Caregiver,2025-11-29 15:09,2025-12-02 07:25,Resolved,Urgent,Housing Assistance Team,64.27,True,False
REQ000127,20250613,SVC003,AGY006,CH001,SLA010,Business User,2025-06-13 21:50,2025-06-19 02:24,Resolved,Normal,Grant Operations Team,124.58,True,False
REQ000128,20260220,SVC006,AGY005,CH001,SLA022,Resident,2026-02-20 13:47,2026-02-22 05:05,Closed,Normal,Housing Assistance Team,39.30,False,False
REQ000129,20251125,SVC006,AGY005,CH003,SLA022,Business User,2025-11-25 14:17,2025-11-28 22:20,Resolved,Normal,Housing Assistance Team,80.06,False,False
REQ000130,20250918,SVC009,AGY001,CH001,SLA034,Senior,2025-09-18 13:54,2025-09-19 05:43,Closed,Normal,Citizen Portal Team,15.82,False,False
REQ000131,20251212,SVC009,AGY001,CH001,SLA034,Visitor,2025-12-12 09:34,2025-12-15 03:27,Closed,Normal,Citizen Portal Team,65.89,False,False
REQ000132,20251125,SVC009,AGY001,CH002,SLA034,Senior,2025-11-25 10:17,2025-11-27 01:21,Closed,Normal,Citizen Portal Team,39.07,False,False
REQ000133,20251206,SVC009,AGY001,CH001,SLA034,Caregiver,2025-12-06 16:29,2025-12-09 03:09,Closed,Normal,Citizen Portal Team,58.67,False,False
REQ000134,20250923,SVC008,AGY008,CH005,SLA031,Caregiver,2025-09-23 12:36,2025-09-24 02:31,Resolved,High,Workforce Case Team,13.93,False,False
REQ000135,20260128,SVC003,AGY006,CH003,SLA011,Resident,2026-01-28 08:04,2026-01-30 01:48,Resolved,High,Grant Operations Team,41.74,False,False
REQ000136,20251117,SVC007,AGY007,CH005,SLA026,Caregiver,2025-11-17 21:41,2025-11-21 00:33,Resolved,Normal,Health Service Desk,74.88,True,False
REQ000137,20251127,SVC005,AGY004,CH003,SLA019,Senior,2025-11-27 10:55,2025-11-28 19:38,Resolved,High,Mobility Response Team,32.73,False,False
REQ000138,20260327,SVC010,AGY006,CH002,SLA038,Caregiver,2026-03-27 11:04,2026-03-28 07:39,Closed,Normal,Grant Operations Team,20.59,False,False
REQ000139,20260402,SVC010,AGY006,CH003,SLA039,Business User,2026-04-02 14:03,,Pending Citizen,High,Grant Operations Team,,False,True
REQ000140,20260422,SVC001,AGY003,CH004,SLA002,Business User,2026-04-22 16:19,2026-04-24 17:44,Resolved,Normal,Licensing Review Team,49.43,False,False
REQ000141,20260514,SVC009,AGY001,CH002,SLA036,Visitor,2026-05-14 20:12,2026-05-15 06:26,Closed,Urgent,Citizen Portal Team,10.24,False,False
REQ000142,20250905,SVC009,AGY001,CH001,SLA034,Senior,2025-09-05 12:34,,In Progress,Normal,Citizen Portal Team,,False,True
REQ000143,20260126,SVC010,AGY006,CH001,SLA038,Caregiver,2026-01-26 18:12,,Pending Citizen,Normal,Grant Operations Team,,False,True
REQ000144,20260120,SVC009,AGY001,CH004,SLA035,Caregiver,2026-01-20 20:35,2026-01-24 23:49,Resolved,High,Citizen Portal Team,99.25,True,False
REQ000145,20251215,SVC004,AGY002,CH002,SLA014,Community Partner,2025-12-15 07:45,2025-12-16 19:00,Resolved,Normal,Case Operations Team,35.26,False,False
REQ000146,20250831,SVC006,AGY005,CH002,SLA023,Business User,2025-08-31 10:32,2025-08-31 23:17,Resolved,High,Housing Assistance Team,12.75,False,False
REQ000147,20260326,SVC003,AGY006,CH005,SLA010,Resident,2026-03-26 14:09,2026-03-28 09:44,Resolved,Normal,Grant Operations Team,43.59,False,False
REQ000148,20250814,SVC012,AGY004,CH002,SLA045,Business User,2025-08-14 15:14,2025-08-18 11:55,Resolved,Low,Mobility Response Team,92.69,False,False
REQ000149,20260319,SVC009,AGY001,CH005,SLA034,Senior,2026-03-19 10:59,,In Progress,Normal,Citizen Portal Team,,False,True
REQ000150,20250610,SVC007,AGY007,CH002,SLA027,Visitor,2025-06-10 09:49,2025-06-11 05:44,Resolved,High,Health Service Desk,19.93,False,False
REQ000151,20251015,SVC011,AGY002,CH001,SLA042,Business User,2025-10-15 17:45,2025-10-17 04:37,Closed,Normal,Case Operations Team,34.87,False,False
REQ000152,20260409,SVC001,AGY003,CH001,SLA002,Resident,2026-04-09 17:07,2026-04-12 03:31,Resolved,Normal,Licensing Review Team,58.41,False,False
REQ000153,20251118,SVC004,AGY002,CH005,SLA014,Community Partner,2025-11-18 17:40,2025-11-20 07:47,Closed,Normal,Case Operations Team,38.13,False,False
REQ000154,20260214,SVC006,AGY005,CH001,SLA023,Resident,2026-02-14 21:55,,In Progress,High,Housing Assistance Team,,False,True
REQ000155,20260505,SVC010,AGY006,CH002,SLA038,Resident,2026-05-05 09:38,,In Progress,Normal,Grant Operations Team,,False,True
REQ000156,20250623,SVC010,AGY006,CH005,SLA038,Resident,2025-06-23 10:34,2025-06-24 07:01,Resolved,Normal,Grant Operations Team,20.46,False,False
REQ000157,20251021,SVC008,AGY008,CH002,SLA030,Caregiver,2025-10-21 19:36,,In Progress,Normal,Workforce Case Team,,False,True
REQ000158,20260113,SVC010,AGY006,CH002,SLA038,Community Partner,2026-01-13 18:02,,In Progress,Normal,Grant Operations Team,,False,True
REQ000159,20260424,SVC009,AGY001,CH001,SLA034,Senior,2026-04-24 16:04,2026-04-26 18:22,Closed,Normal,Citizen Portal Team,50.30,False,False
REQ000160,20260525,SVC004,AGY002,CH001,SLA015,Community Partner,2026-05-25 10:15,2026-05-26 18:04,Resolved,High,Case Operations Team,31.83,False,False
REQ000161,20260112,SVC004,AGY002,CH005,SLA014,Business User,2026-01-12 08:56,2026-01-14 00:43,Closed,Normal,Case Operations Team,39.80,False,False
REQ000162,20260123,SVC006,AGY005,CH002,SLA023,Senior,2026-01-23 18:27,2026-01-27 00:39,Resolved,High,Housing Assistance Team,78.20,True,False
REQ000163,20251110,SVC009,AGY001,CH002,SLA035,Senior,2025-11-10 09:46,2025-11-11 23:15,Closed,High,Citizen Portal Team,37.50,False,False
REQ000164,20260108,SVC003,AGY006,CH002,SLA011,Senior,2026-01-08 17:16,2026-01-11 11:47,Resolved,High,Grant Operations Team,66.53,True,False
REQ000165,20251013,SVC007,AGY007,CH001,SLA026,Resident,2025-10-13 21:18,2025-10-15 23:57,Resolved,Normal,Health Service Desk,50.66,False,False
REQ000166,20260330,SVC012,AGY004,CH002,SLA045,Community Partner,2026-03-30 21:48,2026-04-01 03:07,Resolved,Low,Mobility Response Team,29.32,False,False
REQ000167,20260205,SVC001,AGY003,CH001,SLA002,Community Partner,2026-02-05 07:44,2026-02-06 00:30,Resolved,Normal,Licensing Review Team,16.77,False,False
REQ000168,20251016,SVC001,AGY003,CH003,SLA004,Senior,2025-10-16 10:49,2025-10-18 20:56,Resolved,Urgent,Licensing Review Team,58.12,True,False
REQ000169,20260116,SVC001,AGY003,CH003,SLA002,Community Partner,2026-01-16 20:15,2026-01-18 16:33,Resolved,Normal,Licensing Review Team,44.31,False,False
REQ000170,20250718,SVC003,AGY006,CH001,SLA009,Resident,2025-07-18 11:47,2025-07-19 21:26,Resolved,Low,Grant Operations Team,33.65,False,False
REQ000171,20250624,SVC004,AGY002,CH005,SLA014,Community Partner,2025-06-24 07:45,,Pending Citizen,Normal,Case Operations Team,,False,True
REQ000172,20260111,SVC001,AGY003,CH001,SLA001,Senior,2026-01-11 09:45,,In Progress,Low,Licensing Review Team,,False,True
REQ000173,20260125,SVC012,AGY004,CH003,SLA047,Visitor,2026-01-25 14:41,,In Progress,High,Mobility Response Team,,False,True
REQ000174,20260110,SVC009,AGY001,CH001,SLA034,Resident,2026-01-10 15:03,2026-01-11 05:50,Resolved,Normal,Citizen Portal Team,14.80,False,False
REQ000175,20250615,SVC004,AGY002,CH004,SLA013,Resident,2025-06-15 16:47,2025-06-26 12:38,Resolved,Low,Case Operations Team,259.85,True,False
REQ000176,20260505,SVC007,AGY007,CH003,SLA028,Community Partner,2026-05-05 11:07,2026-05-05 23:02,Resolved,Urgent,Health Service Desk,11.93,False,False
